Leaving Date,Leaving Reason,Start Date,Division Name,Job Title,Grade Code,Position Reference,FTE,Staff Category,Contract Type,Division Name,Faculty Name,School Name,Subject Group Name,Salary
31/07/2016,Contract Expired,01/08/2015,Academic Affairs,Catering Assistant,HU01,CHRFEE17115855,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/07/2016,Contract Expired,16/05/2016,Academic Affairs,Lecturer,HU07,CHRFEE05817694,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
31/07/2016,VLS/Leaver,14/11/2011,Academic Affairs,Dyslexia Tutor,HU07,CHRFEE22415936,0,Academic,Fee,Academic Affairs,Scarborough - Services,Scarborough Student Support,Scarborough Student Wellbeing,
31/07/2016,VLS/Leaver,14/11/2011,Academic Affairs,Marker,HU07,CHRFEE51416714,0,Professional,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Teacher Education,
31/07/2016,VLS/Leaver,14/11/2011,Academic Affairs,Tutor,HU07,CHRFEE17317322,0,Academic,Fee,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,"Psychological Health, Wellbeing and Social Work",
02/08/2016,Resigned,15/09/2014,Academic Affairs,Clinical Research Fellow,M01,CHRD488028,1,Academic,Fixed Term,Academic Affairs,Hull York Medical School,Hull York Medical School,Centre for Cardiovascular and Metabolic Research,45757
05/08/2016,Resigned,16/02/2015,Chief Finance Office,Sports Development Officer - Clubs,HU04,CHRD475079,1,Professional,Fixed Term,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Sport,18940
05/08/2016,Resigned,14/12/2015,Academic Affairs,Student Ambassador Co-ordinator,HU03,CHRD507001,1,Professional,Fixed Term,Academic Affairs,Scarborough - Services,Scarborough Student Administration,Scarborough Student Recruitment,16961
05/08/2016,Resigned,12/05/2014,Academic Affairs,Assistant Faculty Finance Officer,HU06,CHRDHY222,1,Professional,Continuing,Academic Affairs,Hull York Medical School,Hull York Medical School,Hull York Medical School,28453
07/08/2016,Contract Expired,07/10/2015,Academic Affairs,Teaching Fellow,HU07,CHRD030059,0.5,Academic,Fixed Term,Academic Affairs,"Faculty of Business, Law and Politics",School of Law and Politics,Politics,33943
08/08/2016,Resigned,26/01/2009,Chief Finance Office,Chef,HU03,CHRDLN106,1,Professional,Continuing,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,18412
12/08/2016,Resigned,12/10/2015,Academic Affairs,Field Assistant,HU06,CHRD058194,1,Academic,Fixed Term,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,27629
12/08/2016,Resigned,18/08/2008,University Registrar and Secretary,Business Systems Analyst (SIS),HU08,CHRD303020,1,Professional,Continuing,University Registrar and Secretary,University Secretary,University Secretary Office,University Secretary Office,46925
12/08/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR719,0.91,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),33943
12/08/2016,Resigned,01/04/2009,Academic Affairs,Resource Assistant,HU04,CHRD201084,1,Professional,Continuing,Academic Affairs,University Library,"Collections, Learning and Research",Collection Team,20624
16/08/2016,Resigned,19/11/2012,Chief Finance Office,Application Support and Development Analyst,HU07,CHRDCP005,1,Professional,Fixed Term,Chief Finance Office,Information and Communication Technology,IT Infrastructure Services,Platform Services,38183
16/08/2016,Resigned,07/07/2014,Education,Administrator,HU04,CHRDSL055,1,Professional,Continuing,Education,Student Recruitment Directorate,Admissions Service,Admissions,18940
19/08/2016,Resigned,01/09/2014,Academic Affairs,Laboratory Technician,HU05,CHRD058184,1,Professional,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,21843
23/08/2016,Resigned,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR729,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
23/08/2016,Contract Expired,01/09/2015,Academic Affairs,Graduate Internship - Business School,HU04,CHRDHU214,1,Professional,Fixed Term,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,18940
26/08/2016,Contract Expired,10/08/2015,Academic Affairs,Graduate Internship - Business School,HU04,CHRDHU211,1,Professional,Fixed Term,Academic Affairs,"Faculty of Business, Law and Politics",Faculty of Business Law and Politics Office,Faculty of Business Law and Politics Office,18940
28/08/2016,Redundancy,01/09/2012,Academic Affairs,Tutor,HU07,CHRD244009,0.04,Academic,Continuing,Academic Affairs,Faculty of Arts Cultures and Education,Faculty of Arts Cultures and Education Office,Faculty of Arts Cultures and Education Office,38183
29/08/2016,Resigned,24/09/2012,Academic Affairs,Lecturer,HU08,CHRDLE006,1,Academic,Continuing,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,45562
29/08/2016,Resigned,18/05/2016,Academic Affairs,Research Associate,HU06,CHRDCW337,0.5,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,27629
31/08/2016,Resigned,21/07/2003,Academic Affairs,Alumni Relations Manager,HU08,CHRSDO002,1,Professional,Continuing,Academic Affairs,Academic Affairs,Development and Alumni Relations Office,Development and Alumni Relations Office,42955
31/08/2016,Resigned,05/09/2014,Academic Affairs,Clinical Educational Facilitator,M02,CHRDHY224,0.2,Academic,Continuing,Academic Affairs,Hull York Medical School,Hull York Medical School,Hull York Medical School,71676
31/08/2016,Resigned,01/11/2012,Academic Affairs,Radiochemistry Technician,HU06,CHRD058149,1,Professional,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,29301
31/08/2016,Retired,14/09/2009,Academic Affairs,Lecturer,HU08,CHRD013131,0.8,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,46925
31/08/2016,VLS/Leaver,26/08/2002,Academic Affairs,Lecturer,HU08,CHRDCN001,1,Academic,Continuing,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,Midwifery,46925
31/08/2016,Resigned,24/04/2013,Academic Affairs,Technical Assistant,HU06,CHRFEE19816218,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Life Sciences,Sport Health and Exercise Science (SHES),
31/08/2016,Resigned,24/04/2013,Academic Affairs,Technician: Sport Rehabilitation,HU05,CHRDSP076,0.5,Professional,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Life Sciences,Sport Health and Exercise Science (SHES),23164
31/08/2016,VLS/Retired,01/07/1995,Academic Affairs,Senior Lecturer,HU09,CHRSMG020,0.8,Academic,Continuing,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Organisational Behaviour and HRM,55998
31/08/2016,Retired,01/08/1994,Human Resources,Senior Staff Development Advisor,HU08,CHRDSD003,0.8,Professional,Continuing,Human Resources,Human Resources,People Services and Organisational Development,Staff Development,46925
31/08/2016,Resigned,01/03/2013,Academic Affairs,Modular/Ad-Hoc Sessions Lecturer,HU07,CHRD514006,0.14,Academic,Continuing,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Teacher Education,37075
31/08/2016,Resigned,01/03/2013,Academic Affairs,Tutor,HU07,CHRFEE06516117,0,Academic,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Education Studies,
31/08/2016,VLS/Leaver,01/09/2014,Academic Affairs,Catering Supervisor,HU03,CHRDCT093,1,Professional,Fixed Term,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,16961
31/08/2016,Contract Expired,06/03/2014,Academic Affairs,Clinical Research Fellow,M01,CHRD488032,1,Academic,Fixed Term,Academic Affairs,Hull York Medical School,Hull York Medical School,Centre for Cardiovascular and Metabolic Research,34746
31/08/2016,Resigned,02/09/2009,Academic Affairs,Clinical Lecturer,NHS08A - DO NOT USE,CHRDCY026,0.22,Academic,Continuing,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,"Psychological Health, Wellbeing and Social Work",48034
31/08/2016,Resigned,28/10/2013,Academic Affairs,Modular/Ad-Hoc Sessions Lecturer,HU08,CHRD065128,0.16,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Education Studies,42955
31/08/2016,Contract Expired,24/11/2015,Academic Affairs,Research Assistant,HU06,CHRD065152,0.4,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Education Studies,27629
31/08/2016,Resigned,23/07/2007,Academic Affairs,Statistical Analyst/Database Developer,HU07,CHRDCA056,1,Academic,Continuing,Academic Affairs,Hull York Medical School,Hull York Medical School,Centre for Cardiovascular and Metabolic Research,38183
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303420,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303421,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303397,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303398,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Resigned,06/07/2015,Chief Finance Office,Student Assistant,HU01,CHRD455049,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Campus and Accommodation Services,Hull Campus Accommodation Office,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303400,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303402,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303403,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303409,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
01/09/2016,Contract Expired,01/08/2016,Central,External Examiners,,CHREXTEXAM303410,0,Academic,Fee,Central,External Examiners,External Examiners,External Examiners,
06/09/2016,VLS/Leaver,07/09/2015,Academic Affairs,Project Researcher,HU07,CHRDMS030,1,Academic,Fixed Term,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Marketing and Business Strategy,33943
07/09/2016,Resigned,16/03/2015,Academic Affairs,Alumni Events Manager,HU07,CHRDMK004,1,Professional,Continuing,Academic Affairs,Academic Affairs,Development and Alumni Relations Office,Development and Alumni Relations Office,33943
07/09/2016,Resigned,09/06/2014,Chief Finance Office,Retail Catering Manager,HU06,CHRD453033,1,Professional,Continuing,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,30175
08/09/2016,Contract Expired,09/09/2014,Academic Affairs,Research Assistant,HU06,CHRD026024,1,Academic,Fixed Term,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Management Systems,28453
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR722,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR739,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR745,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR744,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Resigned,07/12/1998,Academic Affairs,Customer Services - Library Assistant,HU04,CHRD01020,0.44,Professional,Continuing,Academic Affairs,University Library,Customer Experience and Insight,Customer Experience,18940
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR740,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),34956
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR731,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR738,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),38183
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR734,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),38183
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR727,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR716,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),37075
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR725,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),38183
09/09/2016,VLS/Leaver,01/09/2009,Research and Enterprise,Business Development Manager,HU08,CHRDEV031,1,Professional,Continuing,Research and Enterprise,PVC Research and Enterprise Office,Place and Strategic Relationships,Place and Strategic Relationships,46925
09/09/2016,Resigned,06/08/2012,Academic Affairs,Senior Lecturer,HU09,CHRD058141,1,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,55998
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR742,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),38183
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR733,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR717,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),33943
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR736,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR747,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR714,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),34956
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR735,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR718,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),37075
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR732,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/08/2016,Academic Affairs,Tutor,HU07,CHRDFR741,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),39324
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR720,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),34956
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR728,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),36001
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR712,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),34956
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR713,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
09/09/2016,Contract Expired,01/06/2016,Academic Affairs,Tutor,HU07,CHRDFR711,0.99,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),33943
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR730,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),38183
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR726,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),33943
09/09/2016,Contract Expired,01/09/2013,Academic Affairs,Tutor,HU07,CHRDFR743,0.88,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),33943
09/09/2016,Contract Expired,01/07/2016,Academic Affairs,Tutor,HU07,CHRDFR721,0.97,Academic,Fixed Term,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),32959
14/09/2016,Resigned,30/09/2013,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00611897,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,
14/09/2016,Resigned,30/09/2013,Education,Post-Doctoral Research Assistant,HU07,CHRD347037,1,Academic,Fixed Term,Education,Education,Learning Enhancement and Academic Practice,Learning Enhancement and Academic Practice,33943
15/09/2016,Contract Expired,16/09/2013,Academic Affairs,Research Assistant,HU06,CHRD031146,1,Academic,Fixed Term,Academic Affairs,Faculty of Science and Engineering,School of Life Sciences,Psychology,31076
15/09/2016,Contract Expired,16/09/2013,Academic Affairs,Student Ambassador,HU01,CHRFEE03116610,0,Professional,Fee,Academic Affairs,Faculty of Science and Engineering,School of Life Sciences,Psychology,
16/09/2016,VLS/Retired,29/07/1984,Academic Affairs,Lecturer,HU08,CHRDUG010,1,Academic,Continuing,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,"Psychological Health, Wellbeing and Social Work",46925
16/09/2016,Resigned,01/10/2002,Academic Affairs,Senior Lecturer,HU09,CHRD464001,1,Academic,Continuing,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,Nursing,55998
19/09/2016,Resigned,04/07/2014,Chief Finance Office,General Assistant,HU01,CHRD453035,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
20/09/2016,Contract Expired,21/03/2016,Academic Affairs,Physician Associate Curriculum Advisor,M02,CHRDHY282,0.11,Academic,Fixed Term,Academic Affairs,Hull York Medical School,Hull York Medical School,Hull York Medical School,71676
21/09/2016,Deceased/Died in Service,01/09/1998,Academic Affairs,Professor,HU10,CHRSGG051B,1,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,63009
23/09/2016,Resigned,27/09/2010,University Registrar and Secretary,Specific Learning Difficulties Tutor,HU07,CHRDDI019,0.82,Professional,Continuing,University Registrar and Secretary,Student Services,Student Wellbeing Learning and Welfare Support,Learning Support Team,38183
23/09/2016,Resigned,04/11/2013,Education,Information Officer,HU05,CHRDIS023,1,Professional,Continuing,Education,Student Recruitment Directorate,Student Recruitment Communications,Student Recruitment Communications,22494
23/09/2016,Resigned,03/03/2014,Academic Affairs,Lecturer,HU08,CHRD058167,1,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,46925
23/09/2016,Resigned,19/06/2013,Chief Finance Office,General Catering Assistant (Casual),HU01,CHRDUH119,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
26/09/2016,Resigned,24/01/2011,Academic Affairs,Senior Lecturer,HU09,CHRSMG007,1,Academic,Continuing,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Marketing and Business Strategy,55998
30/09/2016,VLS/Leaver,18/06/1994,Academic Affairs,Security Officer,HU02,CHRDET049,1,Professional,Continuing,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Security,15976
30/09/2016,Resigned,19/09/2011,Chief Finance Office,Assistant (Cleaner),HU01,CHRDTH022,0.55,Professional,Continuing,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Halls of Residence Cleaning and Portering,15052
30/09/2016,VLS/Retired,14/02/2000,Academic Affairs,Business School Student Recruitment Manager,HU09,CHRSBU008,1,Professional,Continuing,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Marketing and Business Strategy,55998
30/09/2016,VLS/Leaver,19/01/2009,Academic Affairs,Catering Assistant,HU01,CHRDCT055,0.82,Professional,Fixed Term,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,15052
30/09/2016,Retired,01/10/1984,Academic Affairs,Professor,HU10,CHRSCH012,1,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Chemistry,86758
30/09/2016,Retired,27/11/1995,Academic Affairs,Lecturer in Education,HU08,CHRSLL013A,0.5,Academic,Continuing,Academic Affairs,Faculty of Arts Cultures and Education,School of Education and Social Sciences,Social Sciences,46925
30/09/2016,Contract Expired,22/02/2016,Academic Affairs,Graduate Research Assistant,HU06,CHRDGO115,1,Academic,Fixed Term,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geology,26829
30/09/2016,Contract Expired,01/07/2015,Academic Affairs,Post-Doctoral Research Assistant,HU06,CHRD013189,0.7,Academic,Fixed Term,Academic Affairs,Faculty of Science and Engineering,School of Engineering and Computer Science,Mechanical Engineering,28453
30/09/2016,VLS/Leaver,01/09/1998,Academic Affairs,Senior Lecturer,HU09,CHRSPA058,1,Academic,Continuing,Academic Affairs,"Faculty of Business, Law and Politics",School of Law and Politics,Politics,55998
30/09/2016,VLS/Leaver,31/10/2011,Academic Affairs,Catering Supervisor,HU03,CHRDCT095,0.82,Professional,Fixed Term,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,16961
30/09/2016,Contract Expired,01/01/2016,Academic Affairs,Tutor,HU07,CHRD056026,1,Academic,Temporary,Academic Affairs,"Faculty of Business, Law and Politics",Hull University Business School,Accounting and Finance,38183
30/09/2016,Retired,30/10/1995,Human Resources,Senior HR Administrator,HU05,CHRDHU005,0.89,Professional,Continuing,Human Resources,Human Resources,Human Resources,Business Partner Research and Enterprise,24565
